artist,asin,media,review_count,star_rating,title,year
Megadeth,B000008ICG,"Audio CD,Audio, Cassette",6,4.5,Foreclosure of a Dream,1992
3,B0000DG02P,Audio CD,6,4.5,Summercamp Nightmare,2003
Wake the Nations,B07KM3HDB7,"Audio CD,MP3 Music",6,4.5,Heartrock,2019
"Wesley, John",B003O8WJUE,"Audio CD,MP3 Music",6,4.5,Shiver,2005
RC2,B0019UUKAK,"Audio CD,MP3 Music",4,4.8,Future Awaits,2008
Event,B000059T4R,"Audio CD,MP3 Music",4,4.8,Human Condition,2001
Metalium,B00000JNLZ,Audio CD,4,4.8,Millennium Metal,1999
Present,B000008C1I,Audio CD,6,4.5,Triskadekaphobie / Le Poison Qui Rend,2017
Soilent Green,B00000607G,Audio CD,4,4.8,String of Lies,1998
Lefay,B000001H1X,"Audio CD,MP3 Music",12,4.2,Sanctified,1995
Mekong Delta,B08M2GS277,"Audio CD,MP3 Music,Audio CD,Vinyl,Audio, Cassette",9,4.3,Music of Erich Zann-Digi-,2020
The Sermon,B07MJMCFQL,"Vinyl,MP3 Music,Audio CD",9,4.3,Birth Of The Marvellous,2019
BLACK CODEX,B00XZKEOL8,Audio CD,6,4.5,Black Codex,2016
Pain Of Salvation,B002TODDBI,"Audio CD,MP3 Music",12,4.2,リノリウム,2009
Le Tigre,B00230AHSK,"Audio CD,MP3 Music",6,4.5,Evercircle,2009
ドリーム・スケープ,B001D7T27G,Audio CD,6,4.5,Revoiced,2010
The Mighty Nimbus,B000TM04CI,"Audio CD,MP3 Music",6,4.5,Mighty Nimbus,2019
Imperium,B000KC1W00,"Audio CD,MP3 Music,Audio CD",4,4.8,Too short of a season [Japan Import],1993
Sleepy Hollow,B000AL38BW,"Audio CD,MP3 Music,Audio CD,Vinyl",6,4.5,Sleepy Hollow,
Stratovarius,B000A38QZ8,Audio CD,12,4.2,Stratovarius,2005
Beyond Twilight,B0007X7UW6,"Audio CD,MP3 Music",18,4.1,Section X,2010
Textures,B0002VEY6I,"Audio CD,MP3 Music,Vinyl",18,4.1,Polars,2004
Dream Theater,B0000579HQ,Audio CD,6,4.5,Lie / Space-Dye Vest / To Live Forever / Another,1994
King Diamond,B000026W8B,Audio CD,6,4.5,Classix Shape Edition,
Skin,B000024L5W,Audio CD,18,4.1,Lucky,1996
Emperor,B000023XKP,"Audio CD,MP3 Music,Vinyl",9,4.3,IX Equilibrium,1999
Royal Hunt,B00000IB4C,Audio CD,4,4.8,Moving Target,1996
,6302590817,VHS Tape,6,4.5,Megadeth - Exposure Of A Dream,
Various Artists,B07J35QDJG,"Vinyl,MP3 Music,Audio CD",34,4,Best of Pink Floyd Red/Blue Color Swirl, | 
Coroner,B000006XSV,"Audio CD,Audio, Cassette",7,4.4,Coroner,
Wrekmeister Harmonie,B082PQKBV7,"Vinyl,MP3 Music,Audio CD",7,4.4,We Love To Look At The Carnage,
Saxon,B06XXHGB7R,Vinyl,7,4.4,War Games - 180 G. Limitiert,
Various Artists,B00005B838,Audio CD,7,4.4,Metal Dreams 3,2001
FE,B00000JKEY,"Audio CD,MP3 Music",7,4.4,Seventh Seal,
A Dying Planet,B098GSDFRX,"Audio CD,MP3 Music",17,4.1,When the Skies Are Grey,2021
The Gathering,B00006WIOD,"Audio CD,MP3 Music,Vinyl",17,4.1,Black Light District,2002
Human Impact,B09242ZNYC,"Vinyl,MP3 Music",5,4.6,EP01,2021
Metalmeister,B000001C9C,Audio CD,5,4.6,Metalmeister,1996
Grafvitnir,B088SZL2S8,"Audio CD,MP3 Music,Vinyl",5,4.6,Semen Serpentis,2020
Domkraft,B08L45TN26,"Audio CD,MP3 Music,Vinyl",5,4.6,Day Of Doom Live,2020
Opus Atlantica,B00008KCOY,Audio CD,5,4.6,Opus Atlantica,2003
Lord Fist,B08KR23TG4,"Audio CD,MP3 Music,Vinyl",5,4.6,Wilderness Of Hearts,2020
Impavida,B085DS7HVN,"Audio CD,MP3 Music,Vinyl",5,4.6,Split, | 
,B0012P6PWE,"Audio CD,MP3 Music",5,4.6,Collision Course,
Sepultura,B000WMGAW8,"Audio CD,Vinyl",5,4.6,Roorback,2007
Lacuna Coil,B000UJAQCS,Audio CD,5,4.6,Within Me,2007
Tad Morose,B0000261OR,"Audio CD,MP3 Music",5,4.6,Leaving The Past Behind,2008
,630202983X,"VHS Tape,DVD",5,4.6,Rusted Pieces,
Dali's Dilemma,B00000IIQW,"Audio CD,MP3 Music",30,4,Manifesto For Futurism,1999
Queensrÿche,B001QVMJV0,"Audio CD,MP3 Music",182,3.9,American Soldier,2009
Red Moon Architect,B08D4L7BKT,"Audio CD,MP3 Music",11,4.2,Emptiness Weighs The Most,2020
Megadeth,B0002FQM9Q,"Audio CD,Audio CD",11,4.2,Risk,
Pyramaze,B000BTEPMY,"Audio CD,MP3 Music",29,4,Legend Of The Bone Carver,2010
Queensrÿche,B000WETHXK,"Audio CD,MP3 Music",136,3.9,Take Cover,2007
Dream Theater,B09LSGCM8Y,"Audio CD,MP3 Music,Vinyl",125,3.9,Lost Not Forgotten Archives: The Majesty Demos 1985-1986,2022
Meshuggah,B000069ATO,"Audio CD,Vinyl",111,3.9,Nothing,2002
And Oceans,B09BGLY4C7,"Vinyl,MP3 Music,Audio CD",15,4.1,Cypher,2021
Winds,B0001XAP3I,"Audio CD,MP3 Music",15,4.1,Imaginary Direction,2004
,B001EGFVD0,"Audio CD,MP3 Music",8,4.3,The Lost Art of Time Travel,
Original Soundtrack,B00004NHGN,"Audio CD,MP3 Music",8,4.3,Scream 3 - Ost,2000
,6305850003,VHS Tape,8,4.3,King's X - Then VHS,
Greg Koch,B00008IAI9,Audio CD,25,4,Radio Free Gristle,2003
Wayward Dawn,B083XW62J1,"Audio CD,MP3 Music,Vinyl",3,5,Heaven Of Lies,2020
BONEHUNTER,B09BC772KP,"Audio CD,MP3 Music,Vinyl",3,5,Dark Blood Reincarnation System,2021
Eye of the Enemy,B07YTCWSDB,Audio CD,10,4.2,Titan,2019
"Kovenant,the",B08JVV9X1C,"Vinyl,MP3 Music,Audio CD",3,5,Seti,2020
Queensrÿche,B000LXCTAK,"Audio CD,Vinyl",3,5,Eyes Of A Stranger,
This Ending,B08XXL85DG,"Audio CD,MP3 Music,Vinyl",3,5,Needles Or Rust,2021
Cult of Luna,B01FDL88F4,"Audio CD,MP3 Music",3,5,Cult of Luna,2008
There Were Wires,B0000BWVNF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",3,5,Somnambulists,2003
Fix8:Sed8,B08NS65RSG,"Audio CD,MP3 Music",3,5,Inevitable Relapse,2021
Horsehunter,B08MND3WT3,"Vinyl,MP3 Music,Audio CD",3,5,Horsehunter Half White/Half Clear,2021
Thought Industry,B000001C9W,"Audio CD,MP3 Music",10,4.2,Black Umbrella,1997
Beyond Grace,B097XH3ZC9,"Vinyl,MP3 Music,Audio CD",3,5,Our Kingdom Undone,2022
Minotaurus,B08R6TMX46,"Audio CD,MP3 Music",3,5,Victims Of The Underworld,2021
Vitalij Kuprij,B08LR4YWBH,"Audio CD,MP3 Music,Vinyl",3,5,Progression Material,2021
Time Requiem,B00008L3P0,Audio CD,10,4.2,Time Requiem,2003
LAUGHING STOCK,B08T48HT1R,"Audio CD,MP3 Music,Vinyl",3,5,"Zero, Acts 1&2",2021
Caustic Casanova,B08QKVWQBJ,"Vinyl,MP3 Music,Audio CD",3,5,God How I Envy the Deaf,2021
Bloodletter,B08N3B3JN5,Vinyl,3,5,Funeral Hymns,2021
Summoner,B08L47GJV4,"Vinyl,MP3 Music,Audio CD",3,5,Day Of Doom Live,2020
Withering Surface,B087HC34YX,"Audio CD,MP3 Music,Vinyl",3,5,Meet Your Maker,2020
Bombs of Hades,B0849VZC1N,"Audio CD,MP3 Music,Vinyl",3,5,Phantom Bell,2020
Atheist,B002A9MN0E,"Audio CD,MP3 Music",3,5,Unquestionable Presence: Live at Wacken,2009
Manticora,B00005I3LD,"Audio CD,MP3 Music",3,5,Darkness With Tales to Tell,2006
Various Artists,B000006NKZ,Audio CD,3,5,Call on the Dark 2,1998
Fates Warning,B000003B33,Audio CD,3,5,Parallels,
Saga,B000001QIQ,Audio CD,3,5,Softworks,1995
Hypno5e,B09JJ5LLY4,"Vinyl,Audio CD",3,5,A Distant Dark Source Experience hd Download),2021
Dream Theater,B09GQLGZ58,"Vinyl,MP3 Music,Audio CD",3,5,Dying to Live Forever 1993,
A Secret Revealed,B09CRW39R4,"Audio CD,MP3 Music,Vinyl",3,5,When The Day Yearns For Light,2021
Dark Arena,B099TSBLPW,"Vinyl,MP3 Music,Audio CD",3,5,Worlds Of Horror,2022
Jordfast,B08Y1NC5J2,"Audio CD,MP3 Music,Vinyl",3,5,Hadanefter,2021
Misanthropia,B08KQZQCXL,"Audio CD,MP3 Music",3,5,Convoy Of Sickness,2021
Decaying Days,B08JF5KSM4,"Audio CD,MP3 Music",3,5,The Unknown Beyond,2020
Illum Adora,B0851MXXPP,"Audio CD,MP3 Music",3,5,Infernum et Necromantium,2020
The Bear,B084WLBV4Z,"Audio CD,MP3 Music,Vinyl",3,5,Propaganda,2020
Whoredom Rife,B07XJZSCS5,"Vinyl,MP3 Music",3,5,Dommedagskvad Gtf/Black,2019
SYNAPTIK,B06VWPGQJ1,"Audio CD,MP3 Music",3,5,Justify And Reason,2017
Slegest,B00KN06HKO,"Vinyl,MP3 Music,Audio CD",3,5,Loyndom,2017
Schaliach,B004FS5CTM,Audio CD,3,5,Sonrise,1996
Aletheian,B004FRNBT6,"Audio CD,MP3 Music",3,5,Dying Vine,2005
Paria,B001QF7344,"Audio CD,MP3 Music",3,5,The Barnacle Cordious,2009
WOLF SPIDER,B001NY42Q0,Audio CD,3,5,Drifting in the Sullen Sea,2009
Amorphis,B001AB5MC4,Audio CD,3,5,Tales from Thousand Lakes,2008
Machinery,B0016GLZNS,Audio CD,3,5,Passing,2008
Mekong Delta,B000UCC66O,"Audio CD,MP3 Music,Vinyl",3,5,Kaleidoscope,1990
Skizoo,B000N68JXQ,"Audio CD,MP3 Music",3,5,Incerteza,2007
Helloween,B000LA43H0,"Audio CD,Audio CD",3,5,The Time of the Oath EP [Japan Import],1996
Titan,B000KRN6CC,"Vinyl,MP3 Music,Audio CD",3,5,A RAINING SUN OF LIGHT AND LOV,2007
Eisenherz,B000H5V95S,Audio CD,3,5,Eisenherz,2007
Stravaganzza,B000ERU7K2,"Audio CD,MP3 Music",3,5,Primer Acto,2006
Hellfueled,B000AP2ZSK,Audio CD,3,5,Volume One,2005
