artist,asin,media,review_count,star_rating,title,year,
Voivod,B000091LDL,Audio CD,76,4.6,Voivod.,2003,
Sloppy Seconds,B00008FVFP,"Vinyl,MP3 Music,Audio CD",16,4.9,The First Seven Inches...And Then Some!,2006,
Darkness,B07PZX92NQ,"Vinyl,MP3 Music,Audio CD",16,4.9,First Class Violence Ltd.White,,
Possessed,B004RVTCE8,"Vinyl,MP3 Music,Vinyl,Audio, Cassette",16,4.9,the eyes of horror LP,,
Iron Age,B002DKF3YI,"Audio CD,MP3 Music,Vinyl",16,4.9,The Sleeping Eye,2009,
Rage,B001AB5MOW,Audio CD,16,4.9,Missing Link,2008,
Onslaught,B09MF5JSL4,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",75,4.6,Force,2022,
The Haunted,B000050860,"Audio CD,MP3 Music",75,4.6,The Haunted Made Me Do It,2000,
Napalm Death,B0000245BJ,Audio CD,75,4.6,Utopia Banished,2008,
Over Kill,B0007OY3MA,"Audio CD,Audio CD",75,4.6,ReliXIV,2005,
Q 5,B07DKMRMDR,"Audio CD,MP3 Music,Vinyl",75,4.6,Steel the Light,2018,
Corrosion Of Conformity,B000000HR5,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",73,4.6,Eye For An Eye Plus Six Songs With Mike Singing,1990,
Tankard,B000F0UZH8,"Audio CD,MP3 Music,Vinyl",33,4.7,The Beauty and The Beer,2012,
Laaz Rockit,B08B73KKYG,"Vinyl,MP3 Music,Audio CD",72,4.6,Annihilation Principle,2020,
Gwar,B00000ICNM,"Audio CD,MP3 Music",72,4.6,We Kill Everything Uncensored,1999,
Primal Fear,B000AP2ZNU,"Audio CD,MP3 Music,Vinyl",72,4.6,Seven Seals,2005,
Between the Buried and Me,B001ET8GNY,"Audio CD,MP3 Music,Vinyl",71,4.6,Colors Live,2008,
GRIFFIN,B087CRQC8S,Audio CD,70,4.6,Flight Of The Griffin/Protectors Of The,2020,
Iron Maiden,B003HPMSYG,Vinyl,69,4.6,Twilight Zone / Wrathchild,1981,
Protector,B07NBDQX6D,"Audio CD,MP3 Music,Vinyl",21,4.8,Summon The Hordes,2019,
The Darkness,B08KH2JJ1Y,"Audio CD,MP3 Music,Vinyl",21,4.8,Over And Out,2021,
Skyclad,B0000073UZ,"Audio CD,MP3 Music,Vinyl",21,4.8,Silent Whales of the Lunar Sea,1995,
Celtic Frost,B00008FNVW,"Audio Cassette,MP3 Music,Vinyl",21,4.8,Tragic Serenades,1990,
Bathory,B000065OMD,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",32,4.7,Destroyer of Worlds,2003,
Anterior,B000Q66HK0,"Audio CD,MP3 Music",32,4.7,This Age of Silence,2007,
Gama Bomb,B015I0ZSSA,"Audio CD,MP3 Music,Vinyl",32,4.7,The Terror Tapes,2013,
Metallica,B07QGPSK7Z,"Audio CD,MP3 Music,Vinyl",66,4.6,Helping Hands... Live 6 Acoustic at the Masonic,,
Candlemass,B006P8UGW8,"MP3 Music,Audio CD",66,4.6,Chapter VI,1992,
Autopsy,B0000BVLYO,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",65,4.6,Acts Of The Unspeakable,2017,
Terror Squad,B07MFWB8BW,Audio CD,31,4.7,Terror Squad,2019,
Legion of the Damned,B000GUJEVU,"Audio CD,MP3 Music",31,4.7,Malevolent Rapture,2006,
M.O.D.,B000003T8U,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",63,4.6,SURFIN' MOD,2005,
Six Feet Under,B0096VYJ6K,"MP3 Music,Audio CD",63,4.6,Graveyard Classics,2000,
Darkthrone,B006PP8KA6,Audio CD,63,4.6,Plaguewielder (Original Edition),2001,
Throwdown,B0009OUAKC,"Audio CD,Audio CD",59,4.6,Vendetta,2005,
Pestilence,B000008JEV,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",59,4.6,Spheres,1993,
Kreator,B099TSBNXZ,"Vinyl,MP3 Music,Audio CD",57,4.6,Endorama,2022,
Over Kill,B00002061H,"Audio CD,MP3 Music,Vinyl",29,4.7,Coverkill,1999,
James Hetfield,B00002ZMNV,"DVD,VHS Tape",928,4.5,Metallica - S & M with the San Francisco Symphony,", et al.",
Metallica,B0002NRRUQ,"DVD,DVD,VHS Tape",928,4.5,S&M (Smartpak) [DVD],,
,B00003CWHP,"VHS Tape,DVD",928,4.5,Metallica: S & M With The San Francisco Symphony VHS,,
Morbid Angel,B0000072BE,"Audio CD,MP3 Music,Vinyl",56,4.6,Abominations,2008,
Born of Osiris,B00290GN4G,"Audio CD,MP3 Music,Vinyl",55,4.6,A Higher Place,2009,
Destruction,B000KRMTZC,Audio CD,55,4.6,Thrash Anthems,2012,
Dimmu Borgir,B006PV31BI,"MP3 Music,Audio CD",55,4.6,Godless Savage Garden (Picture Disc),1998,
Coroner,B07B5RFSQF,"Vinyl,Audio CD,Audio, Cassette",54,4.6,No More Color,2018,
Metallica,B006FPKF6I,"Audio, Cassette,Audio CD,Vinyl",54,4.6,Creeping Death,1990,
Megadeth,B0002EXH5E,"Audio CD,MP3 Music,Audio, Cassette",534,4.5,Risk,2004,
Raven,B006RPWVAY,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",53,4.6,Wiped Out (Original Edition),1982,
Xentrix,B0BG8RK4VC,"Audio CD,MP3 Music,Vinyl",28,4.7,Seven Words,2022,
Anvil,B00000AOU3,"Audio CD,MP3 Music,Vinyl",28,4.7,Worth the Weight,2011,
King Diamond,B005110K4Y,"Vinyl,Vinyl",28,4.7,No Presents For Christmas,1985,
Legion of the Damned,B001NCGFFS,"Audio CD,MP3 Music,Vinyl",28,4.7,Feel the Blade,,
Pro-Pain,B00000I6F4,Audio CD,19,4.8,Act of God,1999,
Innerwish,B003IEAMK8,"Audio CD,MP3 Music",19,4.8,No Turning Back,2010,
Leeway,B000005VRJ,"Audio CD,MP3 Music",19,4.8,Born to Expire / Desperate Measures,1996,
Metallica,B00004SSM7,Audio CD,19,4.8,No Leaf Clover Pt.3,2000,
John Zorn,B00000JZVA,Audio CD,19,4.8,Grand Guignol,1998,
Fleshgod Apocalypse,B001UJIMPU,"Audio CD,MP3 Music",52,4.6,Oracles,2009,
Kreator,B01MDSMBUF,Vinyl,51,4.6,Gods of Violence black,,
Agent Steel,B08NS1CPWB,"Audio CD,MP3 Music,Vinyl",51,4.6,No Other Godz Before Me,2021,
James Hetfield,6305205620,"DVD,VHS Tape",338,4.5,Cunning Stunts [DVD],", et al.",
Metallica,B0007KVAZM,"DVD,VHS Tape",338,4.5,Cunning Stunts,,
Metallica,B0002NRRUG,"DVD,DVD,VHS Tape",338,4.5,Cunning Stunts Smartpak,", et al.",
,6305205639,"VHS Tape,DVD",338,4.5,Cunning Stunts,,
Bathory,B0000048CP,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",331,4.5,Blood Fire Death,1994,
Annihilator,B0000C0FHU,Audio CD,50,4.6,"Alice In Hell/Never, Neverland 2 for 1",2003,
Bride,B000008ODS,"Audio CD,MP3 Music",50,4.6,Snakes in the Playground,,
Sacrifice,B09SP4KMXK,"Audio CD,MP3 Music,Vinyl",27,4.7,Forward To Termination,,
Mike LePond's Silent Assassins,B0863TWPZK,"Audio CD,MP3 Music",27,4.7,Whore of Babylon,2020,
Sacred Reich,B000001C92,"Audio CD,MP3 Music,Audio, Cassette",27,4.7,Heal,1996,
Exhorder,B000000H7H,"Audio CD,MP3 Music,Vinyl",27,4.7,Law,1992,
Rage,B000W795D4,"Vinyl,MP3 Music,Audio CD",27,4.7,Perfect Man,,
Witchery,B07PBD8QN3,"Audio CD,MP3 Music,Vinyl",49,4.6,I Am Legion,2019,
Arch Enemy,B07JZ5BM5C,"Audio CD,MP3 Music,Vinyl",281,4.5,Covered In Blood,2019,
D.R.I.,B0000017CC,"Audio CD,MP3 Music",14,4.9,Live: D.R.I.,2005,
Invocator,B09MYVN88F,"Vinyl,MP3 Music,Audio CD",14,4.9,Excursion Demise,2022,
Protector,B00Y1QGJRM,"Audio CD,MP3 Music,Vinyl",14,4.9,Golem,2015,
Sodom,B00009V7NJ,"Audio CD,MP3 Music",14,4.9,One Night in Bangkok,2003,
Crisix,B07X3QHYW7,Vinyl,14,4.9,Sessions : #1 American Thrash',2019,
,6304528744,VHS Tape,14,4.9,Pantera: 3 VHS,,
Benedection,B000000GZD,"Audio CD,MP3 Music",14,4.9,The Grand Leveller,1992,
Over Kill,B000VBIDXO,"Audio CD,Vinyl",48,4.6,Immortalis,2007,
Accuser,B08JJGYDSQ,"Vinyl,MP3 Music,Audio CD",48,4.6,Accuser,2020,
Napalm Death,B000056FBO,"Audio CD,MP3 Music",48,4.6,Enemy of the Music Business / Leaders Not Follower,2001,
Celtic Frost,B00000EOFF,"Audio Cassette,Audio CD,Vinyl",48,4.6,Cold Lake,1990,
Megadeth,B0006SSQCK,"DVD,VHS Tape",251,4.5,Video Hits: Megadeth,,
Nuclear Assault,B004JNDYYS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",247,4.5,Handle with Care,2015,
Origin,B0007LPMD2,"Audio CD,MP3 Music",47,4.6,Echoes Of Decimation,2005,
Kreator,B0013FSX0U,DVD,47,4.6,At the Pulse of Kapitulation: Live in East Berlin,,
King Diamond,B07DVGQ1HH,"Vinyl,MP3 Music,Audio CD",224,4.5,Abigail II,2018,
Death By Stereo,B00008OLYQ,"Audio CD,MP3 Music,Vinyl",26,4.7,Into the Valley of the Death,2003,
Voivod,B00031M7JI,"Audio CD,MP3 Music",26,4.7,Kronik,2004,
Stallion,B07JK2FLB3,"Vinyl,MP3 Music,Audio CD",26,4.7,Rise & Ride,2018,
バイオレンス,B09PW14GTY,"Vinyl,Audio CD",26,4.7,Let the World Burn,2022,
Hallows Eve,B09LCVZTXM,"Vinyl,MP3 Music,Audio CD",26,4.7,Monument,2022,
Fear Factory,B000059H1S,"Audio CD,MP3 Music",219,4.5,Digimortal,2001,
