artist,asin,media,review_count,star_rating,title,year,
VAMPIRE,B00HVP4YPE,"Audio CD,MP3 Music,Vinyl",7,4.5,Vampire,2014,
Mystic Prophecy,B002HM6DUU,Audio CD,7,4.5,Never Ending Bonus Tracks,2009,
Textures,B00133FON6,Audio CD,7,4.5,Silhouettes,2008,
Enthroned,B00006HM9W,"Audio CD,MP3 Music",7,4.5,Carnage in Worlds Beyond,2002,
Various Artists,B000001C9Z,Audio CD,7,4.5,15th Anniversary Album Metal Blade,1997,
Meshuggah/Dismember/Therion,B000000H2G,Audio CD,7,4.5,Voyager: Nuclear Blast 10 Year Anniversary,1998,
Dead Infection,B07RYXDTG3,"Vinyl,Audio CD",7,4.5,"Brain Corrosion (12"" LP)",,
Saxon,B006OVUWKM,"Audio CD,Vinyl",7,4.5,Saxon (Picture Disc),2005,
Iron Maiden,B006EA62B6,"Audio CD,Vinyl",7,4.5,Hallowed Be Thy Name,1993,
Morbid Angel,B005I7AQNQ,"Audio CD,MP3 Music,Vinyl",7,4.5,Entangled in Chaos,2011,
Leather Strip,B004XXU33Y,"Audio CD,MP3 Music,Audio CD",7,4.5,Serenade For The Dead (Original Import Edition),1994,
Judas Iscariot,B004KKYH5A,"Audio CD,MP3 Music,Audio CD",7,4.5,Distant in Solitary Night,2011,
Disbelief,B004IWQDOS,"Audio CD,MP3 Music,Audio CD",7,4.5,Heal!,2010,
Transilvanian Beat Club,B004ISM8XC,"Audio CD,MP3 Music,Audio CD",7,4.5,Das Leben Soll Doch Schön Sein,2007,
Zonaria,B001N26GQQ,"Audio CD,MP3 Music",7,4.5,Cancer Empire,2009,
Coldseed,B000G1TE2I,Audio CD,7,4.5,Completion Makes the Tragedy,2006,
Maroon,B000ERU5I6,"Audio CD,MP3 Music,Vinyl",7,4.5,When Worlds Collide,2006,
With Passion,B0007SL2M0,"Audio CD,MP3 Music",7,4.5,In Midst of Bloodied Soil,2005,
America Gomorrah,B00078NNJK,"Audio CD,MP3 Music",7,4.5,Brain Cleaner,2004,
Regurgitate,B00009ZVCZ,"Audio CD,MP3 Music",7,4.5,Deviant,2003,
