artist,asin,media,review_count,star_rating,title,year,
Fear Factory,B000BRTNFK,Audio CD,14,4.4,Fear Factory Live on the Sunset Strip,2004,
Southern Gentlemen,B00004S5F6,"Audio CD,MP3 Music",14,4.4,Exotic Dancer Blues,2000,
Mondo Generator,B008CP6OPK,"Audio CD,MP3 Music",14,4.4,Hell Comes to Your Heart,2012,
Sinister,B000000H15,"Audio CD,MP3 Music,Vinyl",14,4.4,Hate,1995,
Bleed the Sky,B0018PJEQM,"Audio CD,MP3 Music",14,4.4,Murder the Dance,2008,
Trapt,B0001MMGEK,Audio CD,14,4.4,Trapt XL T-Shirt,2004,
Deftones,B00004Y2TS,Audio CD,14,4.4,Change in the House,2000,
Muro,B000E8M4O8,"Audio CD,MP3 Music,Vinyl",14,4.4,Acero Y Sangre,,
In Flames,B000060OMO,Audio CD,14,4.4,Lunar Strain / Subterranean,2002,
Marilyn Manson,B00005A3MP,Audio CD,14,4.4,The Fight Song Pt. 2,2001,
