artist,asin,media,review_count,star_rating,title,year
BackWordz,B01MSE5GOY,"Audio CD,MP3 Music",116,4.9,Veracity,2017
Crowbar,B00000JPDJ,"Audio CD,MP3 Music,Vinyl",110,4.9,Odd Fellows Rest,1999
Allegaeon,B01JC0ZOHM,"Audio CD,MP3 Music,Vinyl",108,4.9,Allegaeon - Proponent For Sentience,2016
Reverend Bizarre,B0007TF10I,"Audio CD,MP3 Music,Vinyl",43,5,In the Rectory of the Bizarre Reverend,2009
Asphyx,B01IV36PAQ,"Audio CD,MP3 Music,Vinyl",103,4.9,Incoming Death,2016
Immortal,B00004SPIU,"Audio CD,MP3 Music,Vinyl",103,4.9,Damned in Black,2000
The Company Band,B002RBNNF4,"Vinyl,MP3 Music,Audio CD",100,4.9,The Company Band,2009
Diablo Swing Orchestra,B0087E99QW,"Vinyl,MP3 Music,Audio CD",98,4.9,Pandora's Pinata,2015
Rhapsody,B000067UO4,"Audio CD,MP3 Music,Vinyl",97,4.9,Power of the Dragonflame,2002
Colonel Les Claypool's Fearless Flying Frog Brigade,B00006IT6C,"Audio CD,Vinyl",93,4.9,Purple Onion,2002
Tonic,B00005LW2M,"Audio CD,MP3 Music,Audio CD",92,4.9,Sugar,2006
Primordial,B0791WXVLC,"Audio CD,MP3 Music,Vinyl",91,4.9,Exile Amongst the Ruins,2018
Rotting Christ,B079BJTKCS,"Audio CD,MP3 Music",90,4.9,Their Greatest Spells,2018
WRATHCHILD AMERICA,B01J4APF9C,"Audio CD,MP3 Music,Audio, Cassette",90,4.9,Climbin The Walls,2016
Metallica,B0757HTJCZ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",7714,4.8,Master Of Puppets Remastered,2017
Metallica,B0757DV91P,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",7714,4.8,Master Of Puppets (Remastered Expanded Edition),2017
Linkin Park,B000063DFW,"Audio CD,Audio CD",7792,4.8,Hybrid Theory,2002
Metallica,B01BUX7Z6M,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",7502,4.8,Ride The Lightning Remastered,2016
AC/DC,B0000CDLKT,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",6337,4.8,Highway to Hell,2009
Led Zeppelin,B000002J01,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",6028,4.8,Led Zeppelin 1,1994
Black Sabbath,B00WASEEW0,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",5535,4.8,Paranoid,2015
Evanescence,B000089RVX,"Audio CD,MP3 Music,Vinyl",5471,4.8,Fallen,2003
Tanzwut,B01FIT4MSI,"Audio CD,MP3 Music",71,4.9,Schreib Es Mit Blut,2016
Metallica,B01BUX7Z5I,"Audio CD,Audio CD",5047,4.8,Kill 'Em All Remastered,2016
Linkin Park,B00008H2LB,"Audio CD,MP3 Music,Vinyl",5205,4.8,Meteora,2003
Iron Maiden,B00ZVFYXFW,"Vinyl,MP3 Music,Audio CD",5002,4.8,Book of Souls,2015
Rage Against The Machine,B000025SZ1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",5093,4.8,Rage Against the Machine,2010
ΤOOL,B00009YNGF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4411,4.8,Undertow,2003
ΤOOL,B00000098O,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4163,4.8,Opiate,1992
ΤOOL,B00000099Y,"Audio CD,MP3 Music,Audio, Cassette",3953,4.8,Aenima,1996
Black Sabbath,B00382X4XC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2736,4.8,Heaven & Hell,2010
Slayer,B000062YAZ,"Audio CD,MP3 Music,Vinyl",2698,4.8,Reign In Blood,2002
Slipknot,B00N0T38LG,"Audio CD,MP3 Music,Vinyl",2660,4.8,.5: The Gray Chapter,2014
