artist,asin,media,review_count,star_rating,title,year
Watain,B01M2YSJFR,"Vinyl,Audio CD",1,5,Wild Hunt / Wolf Wear,2016
Thorns,B01LY75D80,Audio CD,1,5,Stigma Diabolicum,
Countess,B01LWQNDKE,Audio CD,1,5,Gospel of the Horned One,2017
NRIII,B01LTHOXOG,"Audio CD,MP3 Music",1,5,Solus Patior,2011
ASHBRINGER,B01LPZSO2Y,"Vinyl,MP3 Music,Audio CD",1,5,Vacant,2016
Striborg,B01J2QNFKY,"Audio CD,MP3 Music",1,5,This Suffocating Existence,
SOLEFALD,B01F10KROW,Vinyl,1,5,Jernlov,2020
Moonblood,B019EYBP74,MP3 Music,1,5,The Winter Falls Over the Land,
,B019CPPL7K,"Audio CD,MP3 Music",1,5,Aornos - Orior CD,
Abigor,B019B92NVO,"Audio CD,Audio CD",1,5,Opus IV,2008
Sepultura,B0178OT6TQ,,1,5,"Rehearsal Summer '88 - 7"" EP",1988
Gehenna,B012PFZWL4,"Audio CD,MP3 Music,Audio CD,Vinyl",1,5,Gehenna: Negotium Perambulans In Tenebris,
Infernal,B012JDBJB4,Audio CD,1,5,Muzaik,
Moloch,B0108ZE2IM,"Audio CD,MP3 Music,Vinyl",1,5,Split,
Black Capricorn,B00Z8CCJV8,"Audio CD,Vinyl",1,5,Cult Of Black Friars,2017
WAR,B00U2RPLL4,Vinyl,1,5,War 45 RPM BEETLES IN THE BOG / THE CISCO KID,1972
Leviathan,B00PB7299M,Vinyl,1,5,Split,
Vargrimm,B00KC9GNAK,"Audio CD,MP3 Music",1,5,Vom Wolf Unter Schafen,2014
Connor Wartelle,B00JU8TR6Q,Audio CD,1,5,Immortality,2014
Agalloch,B00JRQZ17U,Audio CD,1,5,Faustian Echoes EP,
Alcest,B00HK8Q7FC,Vinyl,1,5,Opale (White Vinyl),2013
Celtic Frost,B00GN3U4FE,,1,5,Only Demos Are Real,
"Last Hangmen,the",B00DU632JC,"Audio CD,MP3 Music",1,5,Executing Empires,2013
GORTHAUR's WRATH,B00DEZPA6M,"Audio CD,MP3 Music",1,5,War for Heaven,2013
PEST,B00CHB3G06,"Audio CD,MP3 Music",1,5,Crowning Horror,2013
SELBSTENTLEIBUNG,B00CFNMHQA,"Audio CD,MP3 Music",1,5,Kategorie: Tot,2013
BESATT,B00BZGLJXU,Audio CD,1,5,Unholy Trinity 2: Unspiri,2012
Siebenbürgen,B00B66QALA,Audio CD,1,5,Siebenbürgen Delictum + Plagued By the Angel 2 Cd Set,
Bornholm,B00AFARMMY,"Audio CD,MP3 Music",1,5,Inexorable Defiance, | 
Bulldozer,B009WQ12KK,"Audio CD,MP3 Music",1,5,Alive...in Poland 2011,2014
,B008TC2VQW,"Audio CD,MP3 Music",1,5,Dies Ater - Hunger For Life DIGIBOOK-CD,
Origin of Plague,B008EN7JJ0,Audio CD,1,5,Desolate Grey Sky,2012
Thou Art Lord,B008394JHK,Audio CD,1,5,Diabolou Archaes Legeones (Eosforos + Apollyon),2002
Mayhem,B0081K3E4K,,1,5,Wolf's Liar Abyss (Picture Disc),
Graveland,B007AWXMR4,MP3 Music,1,5,Fire Chariot Of Destruction,
Nargaroth,B0075YKN2O,MP3 Music,1,5,Prosatanica Shooting Angels,
Rudra,B0072VX840,"Audio CD,MP3 Music",1,5,Brahmavidya: Immortal I,
Nokturnal Mortum,B0072LJ8Q2,Audio CD,1,5,Twilightfall,2003
Mysteriarch,B0071QFAYW,"Audio CD,MP3 Music",1,5,Mournful Embrace of Aeons,2011
Arallu,B00719JBKS,"Audio CD,MP3 Music,Audio CD",1,5,Satanic War In Jerusalem,2011
Sodom,B006RNS7S6,,1,5,Expurse Of Sodomy (Picture Disc),1987
Dimmu Borgir,B006PX4TWQ,Audio CD,1,5,Vredesbyrd,2004
Candlemass,B006PW8ADG,Vinyl,1,5,The Invaluable Darkness,2008
Mayhem,B006N0KL2S,MP3 Music,1,5,Live In Marseille 2000,2001
Sepultura,B006MBR5S6,"Vinyl,Audio CD",1,5,Attitude,1996
Venom,B006LPL1VA,"Audio CD,Vinyl",1,5,The Singles 80-86,1986
Venom,B006L8BA54,Vinyl,1,5,French Assault,1985
.,B0060HLUWO,"Audio CD,MP3 Music",1,5,Blut und Asche,
Circle of Ouroborus,B005K0PLN6,Audio CD,1,5,Moonflares, | 
Ruins,B0052XV6FS,Audio CD,1,5,Chambers of Perversion,2010
Njiqahdda,B004X8FQ6S,Audio CD,1,5,Yrg Alms,2009
Be Not Idle in Preparation of Thy Doom,B004VGH0NE,Audio CD,1,5,Faileasan,2011
Bloodthorn,B004PW3U7Y,"MP3 Music,Audio CD",1,5,Genocide,
Salem,B004LLJ0NC,"Audio CD,MP3 Music",1,5,Strings Attached,2011
Yggdrasil,B004LENGDE,"Audio CD,MP3 Music",1,5,Vedergllning,2014
MOON,B004A7O03M,"Audio CD,MP3 Music",1,5,Lucifers Horns,2011
Count Drawko,B003UV8W7Y,Audio CD,1,5,VOLTAGE On the Way Master Version,2010
Nokturnal Mortum,B003U01I62,Audio CD,1,5,Golos Stali - Voice Of Steel,
Ninth Kingdom,B003SRYX8M,Audio CD,1,5,(Demo 001) The Dawning...,2006
Drama,B003SG70AG,"Audio CD,Audio CD",1,5,Winds Choir Opera,2005
Acheron,B003KR3RWS,Audio CD,1,5,Hail Victory,
Salem,B003C27X62,"Audio CD,MP3 Music",1,5,Playing God And Other Short Stories,2010
Thou Art Lord,B002VCUW3A,"Audio CD,MP3 Music",1,5,DV 8 - THOU ART LORD,2003
Suffering Souls,B002QXOK5K,"Audio CD,MP3 Music",1,5,Sadistic Goat Complex,2013
Abigor,B002JXEAK2,"Audio CD,MP3 Music",1,5,Apokalypse,1997
Mercyful Fate,B002IUOOVG,Vinyl,1,5,Live from the Depths of Hell,
Absu,B002HFZ2QI,"Audio CD,Audio CD",1,5,The Third Storm Of Cythraul (Digipack),
Satanic Warmaster,B002FV7H6C,Audio CD,1,5,Of the Night -M,2005
Fatal Injury,B001TOPEOI,Audio CD,1,5,Fatal Injury,2007
Thorium,B001SZ290K,Audio CD,1,5,Mushroom Clouds & Dusk,2009
Urna,B001SZ28FQ,"Audio CD,MP3 Music",1,5,Iter Ad Lucem,2009
Venom,B001S0BLVI,Vinyl,1,5,From Hell to the Unknown...,1985
Lore,B001R23I68,"Audio CD,MP3 Music",1,5,The Exponential Truth,2009
Various Artists,B001Q279CI,"Audio CD,MP3 Music",1,5,Fahrenheit Project Part Five,", et al."
Various Artists,B001Q20FME,"Audio CD,MP3 Music",1,5,Fahrenheit Project Part Six,", et al."
Striborg,B001PPGANA,"Vinyl,MP3 Music,Audio CD",1,5,Solitude,2022
Various Artists,B001N7RFS4,"Audio CD,Audio CD",1,5,Module 01,", et al."
Pantheon I,B001GNSDSQ,Audio CD,1,5,Atrocity Divine,
Various Artists,B001FHMM3U,"Audio CD,Audio CD",1,5,Lichttaufe - Der Folklore Liedschatz,", et al."
SVARTSYN,B001CG6LYK,"Audio CD,Audio CD",1,5,Timeless Reign,
Amon Goeth,B001BH3NIW,Audio CD,1,5,Call the Master,
Bestial Mockery,B001BBBUYC,"MP3 Music,Audio CD",1,5,Slaying The Life,
Endless Dismal Moan,B0018K6TB0,Audio CD,1,5,Ruin,2011
,B00175HE9M,Audio CD,1,5,"Might Is Right, Nordic Warchants 2",
Vlad Tepes,B001708IFG,Audio CD,1,5,La Morte Luna,
Hate Forest,B0015DWX0Q,Audio CD,1,5,Scythia,
