Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
514,James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,.628,0.0,0.1,.500,2.8,4.4,.630,.633,1.2,1.8,.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9,wisemja01
514,James Wiseman,C,21,DET,16,14,26.2,5.9,10.7,.550,0.2,0.9,.214,5.7,9.8,.580,.558,1.4,2.1,.647,2.5,6.2,8.7,0.6,0.2,0.9,1.8,2.9,13.3,wisemja01
515,Christian Wood,C,27,DAL,61,17,26.7,6.1,11.9,.515,1.6,4.3,.366,4.6,7.6,.599,.581,3.4,4.3,.777,1.3,6.3,7.6,1.9,0.5,1.1,1.9,2.7,17.2,woodch01
516,Delon Wright,PG,30,WAS,45,9,23.8,2.6,5.5,.480,0.8,2.3,.353,1.8,3.2,.569,.553,1.0,1.1,.898,1.2,2.1,3.3,3.8,1.8,0.4,0.9,1.2,7.0,wrighde01
517,McKinley Wright IV,PG,24,DAL,24,1,11.6,1.4,3.0,.472,0.3,0.9,.333,1.1,2.1,.529,.521,0.5,0.7,.688,0.3,1.3,1.7,2.0,0.3,0.2,0.7,0.9,3.6,wrighmc01
518,Thaddeus Young,PF,34,TOR,54,9,14.7,2.0,3.7,.545,0.1,0.6,.176,1.9,3.0,.622,.561,0.3,0.5,.692,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,4.4,youngth01
519,Trae Young,PG,24,ATL,67,67,34.6,8.4,19.4,.434,2.2,6.4,.340,6.2,13.0,.480,.490,7.6,8.6,.887,0.8,2.3,3.1,10.0,1.1,0.1,4.1,1.5,26.6,youngtr01
520,Omer Yurtseven,C,24,MIA,6,0,6.2,0.8,1.5,.556,0.0,0.2,.000,0.8,1.3,.625,.556,0.3,0.5,.667,0.7,0.8,1.5,0.0,0.2,0.2,0.2,1.0,2.0,yurtsom01
521,Cody Zeller,C,30,MIA,10,0,13.0,1.5,2.9,.517,0.0,0.1,.000,1.5,2.8,.536,.517,1.7,2.3,.739,1.6,1.9,3.5,0.6,0.2,0.4,0.8,2.3,4.7,zelleco01
522,Ivica Zubac,C,25,LAC,69,69,28.8,4.2,6.7,.628,0.0,0.0,.000,4.2,6.6,.631,.628,2.1,3.0,.708,3.2,6.8,10.0,1.1,0.4,1.3,1.6,2.9,10.5,zubaciv01
